"admit","paes","nem","rank"
"1",682,6.2,"Grupo C"
"0",555,6.1,"Grupo C"
"0",538,6.3,"Grupo A"
"0",409,6.4,"Grupo C"
"0",587,5.7,"Grupo C"
"0",344,6.1,"Grupo B"
"0",295,5.9,"Grupo B"
"0",490,6.4,"Grupo B"
"0",328,6.1,"Grupo A"
"0",457,6.7,"Grupo B"
"1",682,6.8,"Grupo C"
"1",835,5.8,"Grupo C"
"1",745,6.4,"Grupo D"
"0",409,5.9,"Grupo C"
"0",344,5.7,"Grupo B"
"0",409,6.3,"Grupo C"
"0",571,5.9,"Grupo A"
"0",360,6.2,"Grupo A"
"0",312,5.8,"Grupo B"
"0",506,6,"Grupo D"
"0",603,6.6,"Grupo B"
"0",522,6.8,"Grupo B"
"1",396,6.3,"Grupo C"
"0",587,6.5,"Grupo C"
"1",986,6.5,"Grupo D"
"0",295,5.7,"Grupo B"
"1",468,6.5,"Grupo C"
"1",432,5.5,"Grupo C"
"0",441,5.7,"Grupo B"
"0",425,5.8,"Grupo B"
"0",603,6.7,"Grupo B"
"0",457,6.2,"Grupo A"
"1",540,6.3,"Grupo D"
"0",619,6.5,"Grupo A"
"0",457,6,"Grupo C"
"0",393,5.9,"Grupo A"
"1",622,6,"Grupo C"
"0",538,5.6,"Grupo C"
"0",490,6.2,"Grupo C"
"0",425,5.9,"Grupo B"
"0",474,5.8,"Grupo C"
"0",425,6.4,"Grupo B"
"0",474,6.1,"Grupo A"
"0",587,6.8,"Grupo B"
"0",522,6.2,"Grupo C"
"1",540,6.4,"Grupo D"
"0",538,6.7,"Grupo C"
"1",675,6.3,"Grupo A"
"0",522,6.7,"Grupo A"
"0",490,6.2,"Grupo B"
"0",490,6.2,"Grupo A"
"0",328,6.2,"Grupo B"
"0",409,6.2,"Grupo C"
"0",474,5.5,"Grupo B"
"1",432,5.7,"Grupo D"
"0",619,6.1,"Grupo D"
"1",986,6.5,"Grupo D"
"0",344,6.2,"Grupo C"
"1",642,6.7,"Grupo C"
"0",490,6.3,"Grupo B"
"0",522,6.5,"Grupo B"
"1",522,5.7,"Grupo A"
"0",474,5.3,"Grupo C"
"1",432,6.4,"Grupo D"
"0",555,6.3,"Grupo C"
"0",587,6.6,"Grupo B"
"0",506,5.9,"Grupo C"
"0",538,6.3,"Grupo C"
"1",745,6.4,"Grupo C"
"0",441,5.5,"Grupo C"
"0",490,6.1,"Grupo C"
"0",587,6.8,"Grupo D"
"0",376,6,"Grupo A"
"0",603,6.6,"Grupo B"
"0",425,6.8,"Grupo B"
"0",506,6.4,"Grupo B"
"0",344,6.3,"Grupo B"
"0",457,5.6,"Grupo B"
"0",571,6.3,"Grupo B"
"1",986,6.2,"Grupo C"
"0",425,6.3,"Grupo A"
"1",622,6.2,"Grupo C"
"0",441,5.4,"Grupo C"
"1",580,6,"Grupo B"
"0",522,6.1,"Grupo B"
"0",263,5.8,"Grupo B"
"0",522,6.6,"Grupo B"
"0",425,6.7,"Grupo A"
"0",587,6.8,"Grupo C"
"1",486,6.6,"Grupo C"
"0",425,5.6,"Grupo A"
"0",668,6.4,"Grupo C"
"0",474,6.4,"Grupo B"
"0",490,5.7,"Grupo C"
"0",474,5.9,"Grupo C"
"0",425,6.2,"Grupo C"
"1",642,5.7,"Grupo C"
"0",668,6.3,"Grupo B"
"0",538,6.6,"Grupo B"
"0",328,6.4,"Grupo A"
"1",540,6.3,"Grupo C"
"0",474,6.4,"Grupo C"
"0",555,5.9,"Grupo B"
"1",360,6,"Grupo A"
"0",506,6.4,"Grupo B"
"0",490,6.6,"Grupo A"
"0",668,6.1,"Grupo B"
"1",522,6,"Grupo C"
"1",745,6.8,"Grupo D"
"0",360,6.7,"Grupo A"
"1",540,6.7,"Grupo D"
"1",790,6.6,"Grupo B"
"0",619,6.3,"Grupo D"
"1",642,6.4,"Grupo D"
"0",457,6,"Grupo B"
"0",490,6.3,"Grupo C"
"0",619,6.1,"Grupo A"
"0",490,5.8,"Grupo C"
"0",393,5.7,"Grupo C"
"0",538,6.2,"Grupo B"
"1",540,6.4,"Grupo C"
"1",636,5.7,"Grupo B"
"0",295,5.7,"Grupo D"
"1",414,6.4,"Grupo D"
"0",393,5.8,"Grupo D"
"1",504,6.4,"Grupo C"
"0",457,6.1,"Grupo B"
"0",571,6.8,"Grupo B"
"1",432,5.8,"Grupo D"
"0",668,6.3,"Grupo B"
"0",668,5.7,"Grupo C"
"1",694,6.3,"Grupo B"
"0",522,6.4,"Grupo C"
"0",457,5.8,"Grupo A"
"0",409,6.2,"Grupo C"
"1",781,6.2,"Grupo C"
"0",490,6.1,"Grupo A"
"0",506,6.1,"Grupo B"
"0",328,6.2,"Grupo C"
"0",360,5.5,"Grupo B"
"1",986,6.3,"Grupo D"
"0",522,5.8,"Grupo C"
"1",682,6.3,"Grupo C"
"0",409,6.8,"Grupo C"
"0",425,5.7,"Grupo A"
"0",587,6.3,"Grupo B"
"0",376,5.6,"Grupo C"
"1",468,6.6,"Grupo D"
"1",656,5.8,"Grupo B"
"0",522,6,"Grupo C"
"0",457,5.8,"Grupo D"
"0",668,6.7,"Grupo B"
"0",571,6.1,"Grupo C"
"0",376,6,"Grupo C"
"0",571,6.4,"Grupo B"
"0",538,6.5,"Grupo B"
"0",555,6.1,"Grupo A"
"0",522,6,"Grupo A"
"1",468,6.8,"Grupo C"
"1",486,6.3,"Grupo A"
"1",735,6.3,"Grupo A"
"0",538,6.2,"Grupo B"
"1",468,6.1,"Grupo C"
"1",580,6.8,"Grupo B"
"0",441,6.3,"Grupo C"
"0",538,6.6,"Grupo C"
"0",571,5.9,"Grupo C"
"0",376,5.9,"Grupo C"
"1",468,6,"Grupo B"
"1",580,6.8,"Grupo B"
"1",468,6.7,"Grupo B"
"0",328,6.1,"Grupo B"
"0",474,6,"Grupo A"
"1",540,6.4,"Grupo B"
"1",723,6.3,"Grupo C"
"0",425,5.6,"Grupo B"
"1",642,6.8,"Grupo C"
"0",457,6.1,"Grupo B"
"1",723,6.5,"Grupo C"
"0",555,6.1,"Grupo D"
"0",441,5.9,"Grupo C"
"1",540,5.8,"Grupo C"
"0",393,6.6,"Grupo B"
"1",522,6.4,"Grupo D"
"1",656,5.8,"Grupo A"
"1",682,5.9,"Grupo C"
"0",555,6.7,"Grupo C"
"0",312,6.1,"Grupo B"
"0",555,6.3,"Grupo A"
"0",441,5.9,"Grupo A"
"1",396,6.2,"Grupo C"
"0",506,6.1,"Grupo A"
"1",986,6,"Grupo D"
"1",636,6.5,"Grupo A"
"0",668,5.9,"Grupo A"
"0",360,5.1,"Grupo A"
"1",622,6.3,"Grupo C"
"0",668,5.6,"Grupo C"
"0",571,6.5,"Grupo C"
"0",668,6.8,"Grupo D"
"0",409,5.3,"Grupo D"
"0",441,6,"Grupo B"
"0",474,6,"Grupo D"
"0",393,5.9,"Grupo C"
"0",457,6.3,"Grupo C"
"0",603,6.2,"Grupo B"
"0",538,6.1,"Grupo C"
"1",636,6.4,"Grupo B"
"1",360,5.9,"Grupo C"
"1",723,6.8,"Grupo C"
"0",198,5.6,"Grupo B"
"0",490,6.3,"Grupo A"
"1",486,6,"Grupo D"
"0",490,6.3,"Grupo C"
"0",457,5.9,"Grupo C"
"0",376,5.8,"Grupo B"
"0",474,6.8,"Grupo B"
"0",555,6.5,"Grupo C"
"0",555,6.6,"Grupo B"
"1",468,6.4,"Grupo A"
"0",457,6.3,"Grupo A"
"1",270,5.6,"Grupo C"
"1",306,5.8,"Grupo C"
"1",790,6.4,"Grupo A"
"1",432,6.5,"Grupo A"
"0",457,6.1,"Grupo D"
"0",393,5.9,"Grupo B"
"0",393,6.4,"Grupo C"
"0",425,5.8,"Grupo A"
"0",360,5.5,"Grupo C"
"0",441,5.5,"Grupo B"
"0",571,6.7,"Grupo D"
"0",571,6.1,"Grupo C"
"1",504,6.3,"Grupo C"
"0",490,6.1,"Grupo C"
"0",425,5.7,"Grupo A"
"0",619,6.8,"Grupo B"
"0",555,6.4,"Grupo B"
"0",360,5.8,"Grupo D"
"0",474,6.2,"Grupo B"
"1",414,6.4,"Grupo B"
"1",622,6.5,"Grupo D"
"0",441,5.9,"Grupo B"
"0",522,5.9,"Grupo A"
"0",457,6,"Grupo D"
"1",636,6.3,"Grupo B"
"0",425,6,"Grupo A"
"1",504,5.4,"Grupo B"
"0",425,6.8,"Grupo A"
"0",490,5.9,"Grupo C"
"0",441,6.2,"Grupo B"
"0",425,5.8,"Grupo B"
"0",506,6.2,"Grupo C"
"0",490,6.6,"Grupo C"
"0",344,6.2,"Grupo C"
"0",522,5.7,"Grupo C"
"1",962,6.8,"Grupo C"
"0",522,6.2,"Grupo B"
"1",522,5.9,"Grupo B"
"0",587,6.3,"Grupo C"
"1",486,6.6,"Grupo C"
"1",910,5.6,"Grupo D"
"0",587,6.1,"Grupo C"
"0",603,6.1,"Grupo D"
"1",504,6.5,"Grupo B"
"0",603,6.7,"Grupo B"
"1",468,6.8,"Grupo D"
"1",486,6.3,"Grupo D"
"0",571,5.9,"Grupo C"
"0",393,6.2,"Grupo C"
"1",504,6.2,"Grupo D"
"0",409,5.6,"Grupo B"
"0",393,5.7,"Grupo B"
"0",522,6.4,"Grupo B"
"0",490,6.8,"Grupo D"
"0",668,6.7,"Grupo C"
"1",486,6.6,"Grupo C"
"1",656,6.6,"Grupo B"
"1",723,5.2,"Grupo D"
"1",622,6.2,"Grupo D"
"0",474,6.6,"Grupo C"
"0",474,6.3,"Grupo A"
"0",522,6.4,"Grupo C"
"1",986,6.8,"Grupo C"
"0",538,5.9,"Grupo B"
"0",457,5.5,"Grupo C"
"0",587,6.4,"Grupo C"
"1",486,6.3,"Grupo C"
"0",457,6.3,"Grupo C"
"0",555,6.8,"Grupo D"
"1",432,5.4,"Grupo C"
"0",360,5.8,"Grupo D"
"1",835,6.7,"Grupo C"
"0",490,6.2,"Grupo C"
"0",538,6,"Grupo C"
"0",538,6.3,"Grupo C"
"1",986,5.8,"Grupo C"
"1",682,6.7,"Grupo C"
"1",540,6.2,"Grupo B"
"1",622,6.6,"Grupo C"
"1",414,6.8,"Grupo B"
"0",522,6.8,"Grupo C"
"0",474,5.8,"Grupo B"
"0",393,5.4,"Grupo C"
"0",587,6.4,"Grupo C"
"0",506,6.7,"Grupo B"
"1",504,5.4,"Grupo A"
"0",528,5.6,"Grupo D"
"1",504,6.4,"Grupo C"
"0",421,5.8,"Grupo C"
"0",301,5.4,"Grupo D"
"1",432,5.8,"Grupo C"
"1",723,6.1,"Grupo A"
"0",421,5.7,"Grupo D"
"1",540,6.3,"Grupo D"
"0",401,5.6,"Grupo C"
"0",613,5.1,"Grupo D"
"0",298,5.3,"Grupo D"
"0",363,6.5,"Grupo A"
"0",420,5.7,"Grupo D"
"1",682,6.3,"Grupo B"
"0",429,6.2,"Grupo B"
"0",585,6.3,"Grupo B"
"1",622,6.4,"Grupo D"
"0",553,6.2,"Grupo C"
"0",454,5.8,"Grupo D"
"0",325,5.7,"Grupo C"
"1",414,6.8,"Grupo A"
"0",464,5.4,"Grupo C"
"0",475,5.9,"Grupo D"
"0",522,6.1,"Grupo D"
"0",374,5.3,"Grupo D"
"0",386,5.5,"Grupo D"
"0",476,5.1,"Grupo D"
"0",609,5.3,"Grupo A"
"0",347,5.6,"Grupo D"
"0",598,5.9,"Grupo D"
"1",818,6.8,"Grupo A"
"1",468,5.5,"Grupo A"
"0",607,6.4,"Grupo A"
"1",622,6.8,"Grupo C"
"1",504,6.5,"Grupo B"
"0",335,5.3,"Grupo C"
"1",522,6.1,"Grupo B"
"1",675,6.3,"Grupo A"
"0",440,5.6,"Grupo C"
"1",694,6.3,"Grupo A"
"0",490,6.4,"Grupo D"
"0",357,5.1,"Grupo D"
"1",468,6.1,"Grupo A"
"0",510,5.7,"Grupo B"
"0",327,5,"Grupo C"
"0",278,5.8,"Grupo C"
"0",508,5.5,"Grupo D"
"0",380,5.4,"Grupo D"
"0",381,5.5,"Grupo D"
"1",682,6.8,"Grupo A"
"0",521,5.7,"Grupo B"
"1",622,6,"Grupo C"
"0",411,5.4,"Grupo D"
"0",424,6.2,"Grupo D"
"1",360,5.9,"Grupo C"
"0",435,5.4,"Grupo C"
"0",267,5.5,"Grupo B"
"0",463,5.7,"Grupo C"
"1",642,5.7,"Grupo B"
"0",504,5.2,"Grupo B"
"1",986,6.2,"Grupo B"
"1",622,6.6,"Grupo B"
"0",425,6.3,"Grupo D"
"0",452,6.3,"Grupo D"
"1",682,6.8,"Grupo B"
"0",528,5.2,"Grupo B"
"0",325,5.5,"Grupo A"
"0",480,5.7,"Grupo C"
"1",818,6.8,"Grupo A"
"0",430,5.2,"Grupo D"
"1",962,6.8,"Grupo A"
"0",461,6,"Grupo C"
"1",468,6.4,"Grupo A"
"0",349,5.2,"Grupo C"
"1",504,6.2,"Grupo D"
"0",421,5.5,"Grupo D"
"0",538,6.2,"Grupo C"
"1",450,6.4,"Grupo A"
"0",491,6,"Grupo B"
"1",540,6.7,"Grupo C"
"0",235,5.4,"Grupo C"
"1",432,5.4,"Grupo A"
"1",642,6.8,"Grupo C"
"0",363,6.1,"Grupo B"
"0",393,6.1,"Grupo C"
"0",499,6.1,"Grupo D"
"0",539,5.5,"Grupo D"
"0",512,5.3,"Grupo D"
"0",556,6.3,"Grupo C"
"0",455,6.1,"Grupo D"
"1",580,6.8,"Grupo B"
"0",437,5,"Grupo B"
"0",363,5.6,"Grupo B"
"1",835,5.8,"Grupo B"
"0",555,5.6,"Grupo B"
"1",986,6.3,"Grupo C"
"1",522,6,"Grupo A"
"0",282,5,"Grupo C"
"1",910,6.2,"Grupo A"
"1",540,6.4,"Grupo A"
"0",373,5.2,"Grupo C"
"0",521,6.1,"Grupo B"
"0",277,5.2,"Grupo D"
"0",476,6.2,"Grupo B"
"0",522,6.3,"Grupo D"
"0",322,5,"Grupo A"
"0",301,5.8,"Grupo A"
"0",467,5.6,"Grupo B"
"0",431,5.8,"Grupo D"
"0",534,6.2,"Grupo B"
"0",196,5.2,"Grupo C"
"0",321,5.5,"Grupo D"
"1",636,5.7,"Grupo A"
"0",422,6.2,"Grupo D"
"0",404,5.2,"Grupo D"
"1",910,5.6,"Grupo D"
"0",365,5.5,"Grupo B"
"1",504,6.3,"Grupo B"
"0",477,5.8,"Grupo C"
"0",606,6.2,"Grupo C"
"1",682,5.9,"Grupo A"
"1",270,5.6,"Grupo B"
"0",527,6.1,"Grupo D"
"1",432,5.7,"Grupo C"
"1",540,5.8,"Grupo A"
"1",540,6.4,"Grupo B"
"0",610,5.2,"Grupo C"
"0",277,5.7,"Grupo D"
"0",524,5.5,"Grupo D"
"1",522,6.3,"Grupo C"
"1",781,6.4,"Grupo C"
"0",412,5.7,"Grupo B"
"0",413,5.9,"Grupo D"
"0",377,5.5,"Grupo D"
"0",492,5.4,"Grupo B"
"0",261,5,"Grupo C"
"1",622,6.2,"Grupo B"
"0",377,5.2,"Grupo D"
"1",522,5.7,"Grupo A"
"0",475,5.7,"Grupo C"
"0",551,5.5,"Grupo B"
"0",314,5.3,"Grupo D"
"0",474,5.5,"Grupo D"
"0",393,5.7,"Grupo C"
"1",986,6.8,"Grupo B"
"0",508,6,"Grupo D"
"0",294,5.1,"Grupo C"
"1",790,6.4,"Grupo A"
"0",408,5.6,"Grupo C"
"0",436,5.4,"Grupo D"
"0",427,5.3,"Grupo C"
"0",612,6.3,"Grupo D"
"0",462,6.1,"Grupo D"
"1",432,6.5,"Grupo A"
"0",416,5.3,"Grupo C"
"1",580,6.8,"Grupo B"
"1",396,6.3,"Grupo A"
"0",284,5.7,"Grupo D"
"0",463,5.8,"Grupo B"
"0",461,5.4,"Grupo B"
"0",371,5.2,"Grupo B"
"0",425,5.6,"Grupo D"
"1",910,5.6,"Grupo C"
"0",480,5.9,"Grupo D"
"0",334,5.4,"Grupo C"
"1",540,6.4,"Grupo C"
"0",464,5.9,"Grupo D"
"0",456,5.7,"Grupo D"
"0",349,6.2,"Grupo B"
"0",520,6.2,"Grupo D"
"0",505,6.2,"Grupo D"
"0",508,5.5,"Grupo D"
"0",254,5.8,"Grupo C"
"1",636,5.7,"Grupo A"
"1",540,6.4,"Grupo D"
"0",423,5.6,"Grupo C"
"1",432,6.5,"Grupo A"
"0",296,5.6,"Grupo A"
"1",622,6,"Grupo C"
"0",361,5.4,"Grupo A"
"0",223,4.8,"Grupo D"
"0",496,5.6,"Grupo D"
"0",554,6.3,"Grupo D"
"0",452,6.2,"Grupo C"
"0",507,5.4,"Grupo D"
"1",735,6.8,"Grupo A"
"0",455,5.6,"Grupo A"
"1",270,5.6,"Grupo C"
"0",306,5.2,"Grupo D"
"1",504,5.4,"Grupo B"
"0",367,5.8,"Grupo C"
"1",522,6.4,"Grupo D"
"0",597,5.2,"Grupo C"
"1",723,6.3,"Grupo A"
"0",296,6.2,"Grupo B"
"0",328,5.5,"Grupo D"
"0",393,5.2,"Grupo D"
"1",622,6.2,"Grupo B"
"0",516,5.3,"Grupo D"
"0",244,5.3,"Grupo D"
"1",962,6.8,"Grupo A"
"0",513,5.7,"Grupo D"
"1",622,6.8,"Grupo D"
"1",682,6.3,"Grupo B"
"0",444,5.8,"Grupo C"
"0",466,6.2,"Grupo D"
"0",338,6.2,"Grupo D"
"0",604,5.7,"Grupo D"
"0",600,5.9,"Grupo D"
"0",338,6,"Grupo C"
"0",384,5.3,"Grupo D"
"0",503,6,"Grupo B"
"0",413,6,"Grupo A"
"0",270,5.5,"Grupo D"
"0",377,5.1,"Grupo C"
"0",251,5,"Grupo D"
"0",405,5.5,"Grupo D"
"0",512,5.6,"Grupo D"
"0",418,5.6,"Grupo C"
"0",479,6.2,"Grupo D"
"0",416,5.7,"Grupo D"
"0",269,5.7,"Grupo C"
"0",382,5.6,"Grupo C"
"0",327,5.9,"Grupo C"
"1",818,6.8,"Grupo B"
"0",504,6.1,"Grupo D"
"0",345,5,"Grupo C"
"0",411,5.5,"Grupo B"
"1",486,6.6,"Grupo A"
"0",427,5.3,"Grupo D"
"1",468,6.5,"Grupo A"
"0",321,4.7,"Grupo C"
"1",656,6.6,"Grupo B"
"0",380,5.3,"Grupo D"
"0",390,5.7,"Grupo D"
"0",485,5.7,"Grupo D"
"0",385,5.2,"Grupo D"
"1",986,6.8,"Grupo A"
"0",293,5.2,"Grupo D"
"0",423,6.1,"Grupo C"
"0",486,6.4,"Grupo D"
"1",986,5.8,"Grupo C"
"1",790,6.4,"Grupo A"
"0",555,5.8,"Grupo B"
"0",311,5.5,"Grupo C"
"0",490,5.3,"Grupo C"
"0",525,6.1,"Grupo C"
"0",426,6,"Grupo D"
"0",355,6.2,"Grupo A"
"1",735,6.3,"Grupo A"
"0",436,6,"Grupo D"
"0",421,6.4,"Grupo D"
"0",240,5.1,"Grupo C"
"0",325,4.7,"Grupo D"
"1",745,6.8,"Grupo B"
"0",418,5.4,"Grupo D"
"0",497,5.7,"Grupo D"
"0",544,5.9,"Grupo C"
"0",451,5.5,"Grupo D"
"1",486,6.3,"Grupo C"
"1",540,5.8,"Grupo C"
"0",452,5.6,"Grupo D"
"0",394,5.3,"Grupo C"
"0",449,5.7,"Grupo B"
"0",465,5.6,"Grupo D"
"0",418,5.6,"Grupo D"
"0",521,5.8,"Grupo D"
"0",538,6,"Grupo C"
"1",468,6.7,"Grupo A"
"1",986,6.5,"Grupo B"
"1",432,6.4,"Grupo D"
"0",313,5.1,"Grupo C"
"1",540,6.3,"Grupo C"
"0",249,5.5,"Grupo D"
"0",312,4.8,"Grupo B"
"1",468,6.4,"Grupo A"
"0",371,5.4,"Grupo C"
"1",540,6.4,"Grupo A"
"0",391,5.8,"Grupo B"
"1",468,6.6,"Grupo B"
"0",376,6.4,"Grupo D"
"0",455,6.1,"Grupo C"
"0",501,5.6,"Grupo B"
"1",360,5.9,"Grupo A"
"0",279,5.1,"Grupo C"
"1",986,6.5,"Grupo B"
"1",986,6.8,"Grupo D"
"0",347,5.6,"Grupo A"
"0",521,5.9,"Grupo D"
"0",526,5.6,"Grupo D"
"0",294,5,"Grupo D"
"0",423,5.5,"Grupo B"
"0",365,5.2,"Grupo A"
"1",682,6.8,"Grupo B"
"1",504,6.5,"Grupo A"
"0",421,6,"Grupo D"
"0",346,5.9,"Grupo D"
"1",486,6.3,"Grupo A"
"0",586,6,"Grupo A"
"1",522,6.3,"Grupo B"
"0",406,4.7,"Grupo D"
"1",745,6.4,"Grupo B"
"0",445,5.7,"Grupo D"
"1",636,6.3,"Grupo B"
"0",576,5.6,"Grupo B"
"0",362,6.6,"Grupo B"
"1",540,5.9,"Grupo A"
"0",394,5.5,"Grupo B"
"0",463,5.4,"Grupo C"
"1",468,6.1,"Grupo A"
"0",407,5.2,"Grupo D"
"0",434,6.1,"Grupo D"
"0",444,5,"Grupo A"
"0",438,5.5,"Grupo D"
"1",986,6,"Grupo B"
"0",390,6.1,"Grupo D"
"0",550,6,"Grupo B"
"1",622,6.6,"Grupo B"
"1",962,6,"Grupo B"
"1",986,6.5,"Grupo D"
"1",723,6.1,"Grupo A"
"0",525,5.7,"Grupo C"
"1",636,6.5,"Grupo A"
"0",473,5.7,"Grupo B"
"1",486,6.6,"Grupo A"
"0",473,5.5,"Grupo D"
"1",450,6.4,"Grupo A"
"0",441,5.9,"Grupo D"
"0",435,5.7,"Grupo D"
"0",309,5.4,"Grupo B"
"0",382,5.6,"Grupo D"
"1",432,5.7,"Grupo D"
"0",440,5.8,"Grupo C"
"0",292,4.5,"Grupo B"
"0",375,5,"Grupo C"
"1",360,6,"Grupo A"
"0",340,4.7,"Grupo D"
"0",354,5.8,"Grupo D"
"1",522,6.4,"Grupo B"
"0",430,5.1,"Grupo D"
"0",371,5.2,"Grupo C"
"0",461,6.2,"Grupo B"
"1",522,6.3,"Grupo B"
"0",398,5.4,"Grupo D"
"0",462,5.8,"Grupo D"
"0",416,5.5,"Grupo B"
"0",250,4.7,"Grupo C"
"0",532,5.6,"Grupo D"
"0",527,5.7,"Grupo C"
"0",383,5.2,"Grupo D"
"0",374,5.4,"Grupo D"
"0",270,5.4,"Grupo C"
"0",314,5.6,"Grupo D"
"0",462,6,"Grupo D"
"0",492,5.9,"Grupo D"
"1",580,6.8,"Grupo A"
"0",391,5.5,"Grupo D"
"0",417,5.4,"Grupo C"
"0",388,5,"Grupo D"
"0",466,5.6,"Grupo D"
"0",456,6.2,"Grupo C"
"0",429,6.2,"Grupo B"
"0",313,5.6,"Grupo D"
"0",449,6,"Grupo C"
"0",375,5.1,"Grupo D"
"1",642,6.4,"Grupo C"
"1",986,5.8,"Grupo B"
"1",910,6.2,"Grupo C"
"1",540,6.3,"Grupo C"
"0",478,5.5,"Grupo B"
"0",486,5.6,"Grupo D"
"0",527,6.4,"Grupo D"
"0",382,4.9,"Grupo D"
"0",313,5.5,"Grupo B"
"0",362,5.4,"Grupo B"
"0",477,5,"Grupo D"
"1",682,6.8,"Grupo A"
"1",745,6.8,"Grupo C"
"0",259,5.8,"Grupo B"
"0",612,5.8,"Grupo D"
"0",397,6,"Grupo A"
"1",414,6.4,"Grupo B"
"1",723,6.3,"Grupo C"
"1",790,6.4,"Grupo A"
"1",486,6.3,"Grupo A"
"1",468,6.5,"Grupo B"
"0",227,5.5,"Grupo C"
"0",261,5.5,"Grupo A"
"0",598,6,"Grupo C"
"1",468,6.4,"Grupo A"
"0",446,5.6,"Grupo B"
"0",531,6.3,"Grupo B"
"0",256,5,"Grupo C"
"0",325,5.9,"Grupo D"
"1",540,6.3,"Grupo C"
"0",536,5.9,"Grupo D"
"0",476,5.4,"Grupo C"
"0",594,6.3,"Grupo B"
"0",557,5.4,"Grupo A"
"1",270,5.6,"Grupo B"
"0",273,5.5,"Grupo C"
"0",361,5.1,"Grupo B"
"0",382,5.7,"Grupo D"
"0",394,5.8,"Grupo D"
"0",511,5.5,"Grupo C"
"0",363,4.9,"Grupo C"
"0",444,5.7,"Grupo C"
"1",622,6,"Grupo C"
"1",656,5.8,"Grupo A"
"0",414,5.5,"Grupo D"
"0",505,5.9,"Grupo C"
"1",642,6.7,"Grupo B"
"0",382,5,"Grupo D"
"0",531,6.3,"Grupo B"
"1",432,6.4,"Grupo D"
"0",606,6,"Grupo D"
"0",346,5.8,"Grupo B"
"0",400,5.4,"Grupo A"
"0",463,5.7,"Grupo C"
"0",413,5.6,"Grupo B"
"1",986,6.3,"Grupo D"
"0",427,5.5,"Grupo C"
"1",790,6.6,"Grupo A"
"0",473,5.8,"Grupo C"
"0",550,5.9,"Grupo D"
"0",443,6,"Grupo C"
"0",382,5.4,"Grupo C"
"1",599,6,"Grupo A"
